2647757	-
146064	+
3223688	-
4258822	+
1042592	-
3574145	+
1026380	+
4462037	-
1067312	-
2472619	+
4706612	-
4012530	-
331407	+
4224287	+
3381904	-
550669	-
2718934	-
1628829	+
3030639	+
2263635	-
4615330	-
18403	-
2934807	+
1264042	+
3639933	+
3367808	+
2865210	-
3929183	+
1000208	+
1792049	+
3605638	+
667006	+
2147359	-
1160401	-
1919270	-
1950775	-
2040121	+
8604	+
4626490	+
2071319	-
2535025	+
2724220	+
1225158	+
483373	-
4368169	+
4628750	-
512308	-
279494	-
2851094	+
2547775	-
937310	+
1902005	+
1583299	-
2343131	-
967532	-
1701460	-
1421495	-
3417638	-
206384	-
4489199	-
2073092	+
3185604	-
3248100	+
3976389	-
2599318	+
2076888	+
1478516	-
4283056	+
4308800	-
1153680	-
88584	-
1450698	-
611073	+
4483934	-
934540	-
1671608	-
283748	+
2205825	-
4457066	-
3535358	+
3388962	-
261959	+
1120631	-
1032085	-
3606445	+
3655599	-
289694	-
1767917	-
2381821	+
2488084	+
2682037	+
4271248	+
492314	+
1225179	-
2901822	+
3243027	-
907482	+
2122323	+
137012	-
2909541	-
1102466	+
1887603	-
2729077	+
2713375	+
3880526	+
1482211	-
4328526	-
3909947	+
4724096	+
3678375	+
925643	+
1405780	-
602433	-
322186	+
2080418	+
2753434	-
3979949	-
608547	-
358885	-
1445894	-
2803578	-
382224	-
3904517	+
3744710	+
4242617	-
2974559	-
1507290	-
2555946	+
1464524	-
2328568	-
4537845	-
3651807	+
4037758	-
3121814	-
429130	-
4038560	-
4710047	-
2623456	+
91579	-
433653	+
3222625	+
888971	+
2617332	-
1462929	-
3791898	+
4317943	-
2795610	-
1401135	-
2032025	-
2086594	+
1884631	-
302060	+
2916703	+
4507213	-
1336131	-
1186832	+
1940327	-
2431835	-
3076276	-
4417059	-
2452423	-
1646732	-
1254005	+
21818	+
3143529	-
3274395	-
2550052	-
2648344	-
1117715	+
1133400	+
4042879	+
2819991	+
2600967	-
3688908	-
2546209	+
3750029	+
639662	+
4300432	+
4436499	-
3902170	+
4361548	+
471743	+
3908864	-
3842889	+
4184120	-
851334	-
1648563	+
2926830	+
742391	-
3052172	+
2054490	-
4253764	+
1797757	+
568430	-
3632051	-
1913590	+
3144888	+
1962642	-
2701121	-
964613	-
766429	+
2471776	+
1794567	+
1431251	+
3683647	+
4051243	+
1032590	+
2693319	-
340383	+
1328567	+
2979196	+
2557725	+
1987823	+
4506914	-
2559095	-
1903077	+
3642928	+
4677895	-
2091801	-
2179981	+
3187683	+
1103435	+
1526721	-
687793	+
436814	-
3865747	-
4379182	+
1439047	-
2361345	-
2776489	+
4107155	+
3449716	-
2377625	-
3189367	+
3737393	+
1611997	+
4035613	-
1914649	-
2621751	-
3815066	-
1412207	-
2189454	+
4122486	-
3565196	-
764925	-
4626151	+
438012	+
355351	-
2130585	+
1627216	+
4492455	-
4459675	-
1360480	-
1949279	-
2591392	+
3012376	-
3079543	-
1425932	+
4421352	+
2903817	+
1642990	-
2213764	-
87923	+
509401	+
1775043	-
14529	-
469640	-
984453	-
1215010	+
1126512	+
3866529	-
1603178	+
1927355	-
3103065	-
2348789	+
649651	+
3037934	+
4458578	-
1700293	-
4653339	-
3754751	+
2143218	+
751692	-
1740925	+
4349800	+
3083579	+
3043000	+
2561357	-
1785332	+
4529665	+
1423356	-
3579626	+
852604	+
3142662	-
4679731	+
1639516	-
2276775	-
1422176	-
4055822	-
1481764	-
3597807	+
1388954	+
3842876	-
1494399	+
3460340	-
2332449	+
2424435	+
3661023	+
1580535	+
1466442	-
2880159	-
1442366	+
461241	+
3996126	-
60577	-
2406443	-
3603529	+
2830164	+
838464	+
4120762	+
3948641	+
1009040	-
2845443	-
1340983	+
4085049	-
3936169	+
1656996	-
2035864	-
1122236	-
3536329	-
830642	-
1880360	-
132559	+
4694276	-
2069109	-
1740427	-
504146	+
241497	+
1102723	+
2605896	+
4505696	+
1150888	+
2257715	+
3602352	-
848786	+
705226	+
1338023	-
312568	-
761952	-
1678873	-
2121277	-
2760068	-
3452841	-
66668	+
699305	-
1140094	-
1897165	-
2642105	+
1354036	-
4465264	+
2470156	-
3311247	+
4149850	-
