13792	-
14330	-
14718	+
14827	+
14828	-
15250	-
15484	+
15485	-
15664	+
17229	+
17590	+
19275	+
19420	-
20007	+
20008	-
21111	+
21759	+
21760	-
22086	+
22162	-
23028	+
23311	+
23598	+
23627	+
23875	+
23876	-
24109	+
24551	+
24560	-
25555	+
26307	-
26420	+
26421	-
26672	+
26673	-
26818	+
27346	+
27470	-
28113	-
28564	+
28565	-
28610	+
28611	-
28624	+
28727	-
29066	+
29423	+
29424	-
29438	+
30380	-
30783	+
33163	-
33204	+
33255	+
33256	-
33365	+
33366	-
33388	-
33659	+
33759	-
33987	+
33988	-
34322	+
34875	+
35372	+
35537	+
35538	-
35692	+
35927	+
36263	+
36264	-
36356	+
36855	+
36856	-
37161	-
37482	+
37630	+
37770	+
37771	-
37906	-
37968	+
37969	-
38076	+
38077	-
38299	+
38300	-
38305	+
38314	-
38854	+
39106	+
39107	-
39485	+
39486	-
39698	+
39780	+
39992	+
40481	+
40482	-
41013	-
41124	+
41238	+
41289	+
41290	-
41382	+
41398	-
41681	+
41682	-
41882	+
41883	-
41967	+
41968	-
42252	+
42253	-
42417	+
42418	-
43666	-
44601	+
44602	-
44763	+
44764	-
44848	+
44849	-
44895	+
44896	-
45232	+
45233	-
45534	-
46020	+
46606	+
46615	+
46652	+
46653	-
46752	-
46778	+
46779	-
46883	+
47002	+
47003	-
47102	-
47143	+
47144	-
48012	+
48013	-
48296	-
48476	+
48477	-
49264	+
49379	-
49385	-
50266	+
50267	-
50290	+
50763	+
50764	-
51027	+
51213	+
51214	-
51230	+
51231	-
51322	-
51581	+
51582	-
51614	+
51753	+
51754	-
52123	+
52124	-
52521	-
52744	-
52828	-
52971	-
53243	+
53354	+
53355	-
53663	+
53802	-
53946	-
54014	+
54015	-
54125	+
54126	-
54242	+
54734	+
55005	+
55006	-
55693	+
55694	-
55809	+
55810	-
55903	+
55953	+
55954	-
56044	+
56110	+
56527	+
56528	-
56595	+
56596	-
56996	-
57052	+
57053	-
57231	+
57588	+
57696	+
57807	+
57997	+
57998	-
58030	+
58172	-
58328	-
58348	+
58349	-
58443	+
58623	+
58624	-
58782	-
59007	+
59008	-
59042	+
59091	-
59932	+
60245	-
60543	+
60544	-
60674	+
60675	-
61058	-
61216	+
61700	+
61701	-
61982	+
61983	-
62144	+
62145	-
62238	+
62261	+
62801	+
62802	-
62945	+
62946	-
63632	+
64088	-
64172	-
64228	+
64229	-
64395	+
64396	-
64509	+
64510	-
64642	-
64729	+
64730	-
64869	+
64909	+
64941	+
64942	-
65122	+
65480	-
65731	+
65732	-
66314	+
66315	-
66349	-
67009	-
67068	+
67069	-
67140	+
67193	+
67194	-
67222	-
67873	-
67920	-
67944	+
67976	+
68361	+
68469	+
68516	+
68992	-
69005	+
69006	-
69159	+
69637	-
70141	+
70205	+
70206	-
70257	-
70352	+
70353	-
70382	+
70383	-
70817	+
70818	-
70901	+
70902	-
71087	+
71088	-
71443	+
71778	+
71779	-
71865	+
71866	-
72153	+
72216	+
72217	-
72445	+
72446	-
73554	+
73555	-
73719	+
74057	+
74803	+
74804	-
74852	+
75270	+
75271	-
75802	-
75973	-
75984	+
75985	-
76130	+
76866	+
78345	+
78346	-
79580	+
79581	-
79940	+
79941	-
79950	-
80021	+
80163	+
81814	+
81815	-
82001	+
82002	-
82269	-
82323	-
83055	+
83056	-
83432	+
83478	+
83910	-
84299	-
84482	+
84515	+
84516	-
85478	+
85487	-
85567	+
85568	-
85591	+
85592	-
85603	+
85604	-
85666	+
86211	-
86600	+
87310	+
87311	-
87532	+
87533	-
88106	+
88285	+
88286	-
88990	+
88991	-
89409	+
89901	+
89962	+
89963	-
90171	+
90228	+
90229	-
90265	+
90270	+
90328	-
90938	+
91695	-
91774	-
91843	+
91946	+
91947	-
92381	+
93381	+
93382	-
93668	-
94002	-
94051	+
94292	-
94401	-
94646	+
94759	+
94760	-
94898	-
95023	+
95024	-
95341	+
95342	-
95394	+
95395	-
95452	-
95477	+
95478	-
95715	-
95925	-
96090	-
96159	+
96160	-
96650	+
96651	-
96678	+
96991	-
97009	-
97061	-
97269	-
97822	+
98715	+
98716	-
98727	+
98728	-
98796	-
99030	+
99278	+
99368	-
99386	-
99418	-
100576	+
100577	-
100678	+
100679	-
100762	-
100889	-
100981	+
101445	-
101876	-
103050	+
103051	-
103512	+
103513	-
103937	+
103938	-
104172	-
104755	+
104756	-
105566	-
105905	+
105906	-
106205	+
106206	-
106568	+
106797	+
106798	-
108803	+
109027	+
109028	-
109821	+
109822	-
110433	-
110456	+
110457	-
110769	+
111211	-
111302	-
111350	+
111351	-
111902	-
111970	+
111971	-
111997	+
112232	-
112387	+
113165	-
113991	+
114444	+
114505	+
114543	+
114544	-
114565	-
114687	+
114688	-
115371	-
115412	-
115418	+
115419	-
115875	-
115898	+
116134	-
116212	-
116255	+
117174	+
117546	+
117547	-
117700	-
117859	-
117974	+
118058	+
118059	-
118326	+
118609	+
118833	+
118842	+
118843	-
118954	+
118955	-
119237	-
119398	+
119629	+
119630	-
119869	+
119870	-
119874	+
119875	-
121352	+
121480	+
121481	-
121631	-
121723	+
121724	-
121862	+
121863	-
122179	+
123114	-
123644	-
123918	+
124445	+
124446	-
124469	+
124470	-
124647	+
124648	-
124747	-
124848	+
125276	-
125726	+
125727	-
125765	+
125766	-
126253	-
127263	-
127625	+
127626	-
127774	+
127775	-
127814	-
128160	-
128514	+
129308	+
129309	-
129355	+
129356	-
130035	-
130226	+
130284	-
130479	+
130783	-
131253	+
131324	+
131325	-
131404	-
131489	+
131490	-
134109	+
134110	-
134402	-
134640	+
134876	+
135165	+
135166	-
136417	+
136528	+
136529	-
136785	+
136935	+
136936	-
137669	+
137670	-
137817	+
137818	-
138173	+
138174	-
139136	+
139224	-
139250	+
139446	-
139623	-
139765	+
139880	+
139881	-
140908	+
141286	+
141287	-
141766	+
141767	-
141806	-
141880	+
141881	-
142033	+
142034	-
142163	-
143186	+
143187	-
143468	-
143576	-
143965	+
143966	-
144122	+
144262	-
144679	+
145041	+
145042	-
145129	+
145375	+
145679	+
145680	-
145741	+
145895	+
145896	-
146168	+
146169	-
146319	+
146519	+
146520	-
146643	-
147099	+
147332	-
147562	+
147563	-
147580	+
147724	+
147725	-
147848	-
148082	+
148083	-
148217	+
148218	-
148868	+
149015	+
149066	+
149078	+
150057	+
150058	-
150467	+
150525	+
150706	-
150846	+
150847	-
151128	+
151279	+
151280	-
151339	+
151859	+
151860	-
152065	+
152512	+
152513	-
152907	-
152917	+
152928	-
153022	+
153038	+
153530	+
153531	-
153650	+
153651	-
154148	-
154226	-
154281	-
154319	+
154320	-
154801	+
154894	+
154895	-
155551	+
155552	-
155950	+
156293	+
156855	+
156856	-
157586	-
157842	+
157863	-
157911	+
157912	-
158000	+
158615	+
158616	-
159224	+
159225	-
159526	-
159627	+
159628	-
159869	+
159870	-
160106	+
160107	-
160324	+
160768	+
160769	-
160995	+
160996	-
161025	-
161030	+
161405	+
164187	+
164188	-
164343	+
165879	-
166388	-
166939	+
166940	-
167343	+
167344	-
167379	+
167380	-
167519	-
167687	-
167782	+
167921	+
167922	-
168017	+
168018	-
168485	-
168495	+
169089	-
169453	-
169490	+
169497	-
169805	+
169806	-
169930	-
170016	+
170017	-
170544	+
170553	-
170603	+
170604	-
170679	-
170818	-
171030	+
171039	-
171134	+
171135	-
171396	-
171542	+
171632	+
171633	-
172138	+
172467	-
172616	+
173577	+
173578	-
174833	-
174938	-
175015	+
175016	-
175026	-
175056	-
175073	+
175241	+
175526	-
176159	+
176160	-
176300	+
176690	+
176959	+
177704	-
178095	+
178096	-
178858	-
179825	+
181454	+
181455	-
181462	+
181463	-
182803	-
182846	-
182911	-
183025	-
183487	-
183555	+
183556	-
183762	+
183948	+
183949	-
183987	+
184550	+
184551	-
185158	-
185368	+
185623	-
186337	+
186345	-
186506	+
186510	+
186511	-
186541	-
186584	+
186725	+
186866	+
187168	-
187465	-
188120	+
188255	+
188379	+
189159	+
189273	+
189553	-
189617	+
189618	-
190038	+
190039	-
190408	+
190409	-
190573	+
191099	-
191176	+
191275	+
191299	+
191318	-
192092	+
192093	-
192321	+
192322	-
192972	+
192973	-
193321	-
193580	-
193672	-
193696	-
193837	+
194058	-
194959	+
195013	+
195014	-
195170	-
195249	-
195368	-
195716	-
195736	+
195792	+
195793	-
196116	+
